win,lose,probability
Los Angeles Clippers,Houston Rockets,0.57169288260456019
Indiana Pacers,Chicago Bulls,0.63551640068491944
Minnesota Timberwolves,Milwaukee Bucks,0.58843482966697758
New York Knicks,New Orleans Pelicans,0.51845054572724647
San Antonio Spurs,Portland Trail Blazers,0.87138354711575483
Washington Wizards,Brooklyn Nets,0.82506866906212706
Chicago Bulls,Milwaukee Bucks,0.66973169872173588
Cleveland Cavaliers,Charlotte Hornets,0.59538099282760348
Houston Rockets,New York Knicks,0.70985266820922999
Oklahoma City Thunder,Los Angeles Clippers,0.72768243904274288
Sacramento Kings,Memphis Grizzlies,0.50019372235996684
Utah Jazz,Phoenix Suns,0.7975933533556524
San Antonio Spurs,Atlanta Hawks,0.650882928627458
Indiana Pacers,Orlando Magic,0.72438365091313628
Toronto Raptors,Los Angeles Lakers,0.91358218342317388
Miami Heat,Detroit Pistons,0.662278636085465
Portland Trail Blazers,Minnesota Timberwolves,0.62183718094406792
Utah Jazz,Brooklyn Nets,0.79989898839965556
Charlotte Hornets,Chicago Bulls,0.59954280982037433
Cleveland Cavaliers,New Orleans Pelicans,0.91906898169379914
Golden State Warriors,Denver Nuggets,0.94984036497683744
Houston Rockets,Washington Wizards,0.59015863556268755
Los Angeles Clippers,Phoenix Suns,0.88836950669032533
Oklahoma City Thunder,Milwaukee Bucks,0.82340212842094895
Orlando Magic,New York Knicks,0.56524886788215034
Boston Celtics,Utah Jazz,0.67008311660709385
Dallas Mavericks,Washington Wizards,0.54977559067286919
Denver Nuggets,Sacramento Kings,0.53580161011420147
Detroit Pistons,Indiana Pacers,0.54270004643878467
Memphis Grizzlies,Los Angeles Lakers,0.76991709678274611
Minnesota Timberwolves,Philadelphia 76ers,0.78777931861072392
Miami Heat,Phoenix Suns,0.81959680784613553
San Antonio Spurs,Toronto Raptors,0.77921657877588602
Oklahoma City Thunder,Charlotte Hornets,0.5647163208877104
Cleveland Cavaliers,Chicago Bulls,0.84316942648495996
Golden State Warriors,Portland Trail Blazers,0.89787044820413353
Los Angeles Clippers,Memphis Grizzlies,0.79606329121449515
New York Knicks,Milwaukee Bucks,0.52223387557147671
Atlanta Hawks,Orlando Magic,0.65459650635390754
Miami Heat,Sacramento Kings,0.68805072774383635
Dallas Mavericks,Phoenix Suns,0.77798201057518435
San Antonio Spurs,Denver Nuggets,0.85366259481777218
Charlotte Hornets,Detroit Pistons,0.50162440676663311
Oklahoma City Thunder,Houston Rockets,0.6700067861091672
Indiana Pacers,Brooklyn Nets,0.8714829243558847
Atlanta Hawks,New Orleans Pelicans,0.73638877873534647
Portland Trail Blazers,Los Angeles Lakers,0.92792998810825522
Toronto Raptors,Utah Jazz,0.76312050233987794
Boston Celtics,Philadelphia 76ers,0.93187823641810041
Cleveland Cavaliers,Brooklyn Nets,0.92487916292696015
Golden State Warriors,Memphis Grizzlies,0.93535281886081134
Miami Heat,Los Angeles Lakers,0.88075927731066539
Milwaukee Bucks,New York Knicks,0.51582343843005773
Houston Rockets,Orlando Magic,0.56380852727965736
Los Angeles Clippers,Sacramento Kings,0.72996877956571216
Washington Wizards,Minnesota Timberwolves,0.71800269648650983
Boston Celtics,New Orleans Pelicans,0.81257962050447563
Toronto Raptors,Chicago Bulls,0.68997899782342365
Atlanta Hawks,Dallas Mavericks,0.5556770705877947
Indiana Pacers,New York Knicks,0.75938891624381355
Utah Jazz,Minnesota Timberwolves,0.60225726752561992
Oklahoma City Thunder,Denver Nuggets,0.90441210524588955
San Antonio Spurs,Charlotte Hornets,0.8399111859237709
Brooklyn Nets,Philadelphia 76ers,0.62754081479393964
Los Angeles Clippers,Miami Heat,0.63877981823246499
Orlando Magic,Los Angeles Lakers,0.76899996744678223
Utah Jazz,Memphis Grizzlies,0.54812206572704236
Washington Wizards,Milwaukee Bucks,0.61461009244481202
Cleveland Cavaliers,Phoenix Suns,0.90571860588367459
Portland Trail Blazers,Detroit Pistons,0.75823294504137995
Golden State Warriors,Sacramento Kings,0.8885020950393816
Toronto Raptors,Houston Rockets,0.76905840252071123
Oklahoma City Thunder,Chicago Bulls,0.74352633335358176
Dallas Mavericks,Minnesota Timberwolves,0.5997543872231218
New York Knicks,New Orleans Pelicans,0.51871996176389945
Atlanta Hawks,Brooklyn Nets,0.85007607326683887
Golden State Warriors,Miami Heat,0.86763207943889675
Charlotte Hornets,Houston Rockets,0.51184730051011873
Portland Trail Blazers,Los Angeles Lakers,0.8463217901466068
Detroit Pistons,Sacramento Kings,0.60041740638321484
San Antonio Spurs,Milwaukee Bucks,0.94092745295725189
Toronto Raptors,Boston Celtics,0.6869874111644001
Cleveland Cavaliers,Utah Jazz,0.70715944086296423
Washington Wizards,Chicago Bulls,0.54807476834149671
Boston Celtics,Washington Wizards,0.686202750360564
Los Angeles Clippers,Orlando Magic,0.79690135012764851
Houston Rockets,Minnesota Timberwolves,0.59429309711429312
Oklahoma City Thunder,Memphis Grizzlies,0.87848220363409379
New York Knicks,Philadelphia 76ers,0.81151681724155345
Portland Trail Blazers,Cleveland Cavaliers,0.50259297989297158
New Orleans Pelicans,Brooklyn Nets,0.65189160158720627
Indiana Pacers,Denver Nuggets,0.6321130705646496
Golden State Warriors,Detroit Pistons,0.90585130775957756
Chicago Bulls,New York Knicks,0.6621404251791192
Dallas Mavericks,Phoenix Suns,0.75530430765527878
San Antonio Spurs,Los Angeles Lakers,0.96819364216183224
Atlanta Hawks,Boston Celtics,0.5929208914937748
Houston Rockets,Memphis Grizzlies,0.66962238149459452
Miami Heat,Milwaukee Bucks,0.71436370832446283
Oklahoma City Thunder,Minnesota Timberwolves,0.80437267028737958
Charlotte Hornets,Philadelphia 76ers,0.91697686976264781
Portland Trail Blazers,Orlando Magic,0.82580244448544415
Cleveland Cavaliers,Sacramento Kings,0.82344271006856284
Toronto Raptors,Brooklyn Nets,0.92680249528869241
Utah Jazz,Detroit Pistons,0.56242658132843226
Chicago Bulls,New Orleans Pelicans,0.66661006781950594
Los Angeles Clippers,Los Angeles Lakers,0.9142126610268152
San Antonio Spurs,Phoenix Suns,0.92555345958781388
Utah Jazz,Orlando Magic,0.66019552568355122
Washington Wizards,Philadelphia 76ers,0.88989830556756255
Atlanta Hawks,Milwaukee Bucks,0.82233139037089098
Houston Rockets,Brooklyn Nets,0.79454220776045792
Dallas Mavericks,Minnesota Timberwolves,0.7064317490626465
Detroit Pistons,Los Angeles Lakers,0.83421821530147677
Chicago Bulls,Memphis Grizzlies,0.54551101192015039
Oklahoma City Thunder,Sacramento Kings,0.80438325933152988
Toronto Raptors,New York Knicks,0.85492673001695574
Boston Celtics,Charlotte Hornets,0.59155726801198361
Denver Nuggets,Orlando Magic,0.51000822605993135
Golden State Warriors,Cleveland Cavaliers,0.75608902901487929
Indiana Pacers,New Orleans Pelicans,0.78646013742204635
Oklahoma City Thunder,Los Angeles Clippers,0.51320302898117331
Milwaukee Bucks,Philadelphia 76ers,0.79685404954368966
Atlanta Hawks,New York Knicks,0.73748133538262128
Utah Jazz,Phoenix Suns,0.75722821682139174
Washington Wizards,Portland Trail Blazers,0.52495031301202444
Toronto Raptors,Brooklyn Nets,0.89285852492654372
Dallas Mavericks,Chicago Bulls,0.51373874144350595
Denver Nuggets,Los Angeles Lakers,0.71884489888661862
Miami Heat,Houston Rockets,0.66793515892410182
San Antonio Spurs,Minnesota Timberwolves,0.93979685194232465
Boston Celtics,New York Knicks,0.78792676113939564
Charlotte Hornets,Portland Trail Blazers,0.658400002297577
Atlanta Hawks,Detroit Pistons,0.50446940677994201
Golden State Warriors,Oklahoma City Thunder,0.77855853788936824
Houston Rockets,Milwaukee Bucks,0.74328905106023102
Orlando Magic,New Orleans Pelicans,0.56386341661117878
Toronto Raptors,Philadelphia 76ers,0.94259057923852263
Indiana Pacers,Sacramento Kings,0.64000502198342146
Washington Wizards,Memphis Grizzlies,0.64521688288181422
Cleveland Cavaliers,Phoenix Suns,0.9426494069295559
Los Angeles Clippers,Minnesota Timberwolves,0.84532106962247866
Miami Heat,Dallas Mavericks,0.66288125923966723
Washington Wizards,New York Knicks,0.64783104071628839
San Antonio Spurs,Denver Nuggets,0.93586896957824439
Atlanta Hawks,Chicago Bulls,0.68360349970570555
Charlotte Hornets,Toronto Raptors,0.50100787599006114
Dallas Mavericks,Utah Jazz,0.53143323502904916
Golden State Warriors,Houston Rockets,0.79735243548607859
Indiana Pacers,Los Angeles Lakers,0.856190572647054
Memphis Grizzlies,Sacramento Kings,0.5820560296553976
New Orleans Pelicans,Brooklyn Nets,0.66618191721583075
Orlando Magic,Milwaukee Bucks,0.61836330105122783
Portland Trail Blazers,Philadelphia 76ers,0.89532091833442029
Atlanta Hawks,Philadelphia 76ers,0.93506259626060151
Boston Celtics,Portland Trail Blazers,0.65160164274691668
Chicago Bulls,Sacramento Kings,0.61275294788122137
Charlotte Hornets,Brooklyn Nets,0.89161658272128819
Cleveland Cavaliers,San Antonio Spurs,0.57167722224167927
Los Angeles Clippers,Denver Nuggets,0.72319605802938447
Detroit Pistons,Washington Wizards,0.6000135650608821
Houston Rockets,Memphis Grizzlies,0.53990203008689219
Miami Heat,Milwaukee Bucks,0.80816045310900564
New York Knicks,Phoenix Suns,0.60936935171990103
Utah Jazz,Indiana Pacers,0.5206968569499576
Dallas Mavericks,Los Angeles Lakers,0.82432703942133023
Minnesota Timberwolves,Denver Nuggets,0.56707969595152985
Golden State Warriors,Orlando Magic,0.8754854184289208
Toronto Raptors,Phoenix Suns,0.90870383153412904
Atlanta Hawks,Los Angeles Clippers,0.54496015750789883
San Antonio Spurs,Brooklyn Nets,0.94094585798234931
Charlotte Hornets,Washington Wizards,0.69264440849871722
Detroit Pistons,Sacramento Kings,0.7018162745498423
Indiana Pacers,New York Knicks,0.75938891624381355
Golden State Warriors,Miami Heat,0.7300470738614977
Houston Rockets,Milwaukee Bucks,0.62421082462797295
Cleveland Cavaliers,New Orleans Pelicans,0.85847122679038945
Oklahoma City Thunder,Utah Jazz,0.68041895261089114
Utah Jazz,Denver Nuggets,0.59407889663826241
Chicago Bulls,Orlando Magic,0.56935853001498493
Los Angeles Clippers,Philadelphia 76ers,0.93359847065448121
Minnesota Timberwolves,Phoenix Suns,0.59515687504424319
San Antonio Spurs,Toronto Raptors,0.55302569877373364
Boston Celtics,Washington Wizards,0.5501887817955462
Boston Celtics,Houston Rockets,0.67736719817815028
Miami Heat,Brooklyn Nets,0.85342726540180114
Atlanta Hawks,Chicago Bulls,0.60227203561822096
Golden State Warriors,Charlotte Hornets,0.71543687527326449
Cleveland Cavaliers,Sacramento Kings,0.89986905555673458
Dallas Mavericks,New York Knicks,0.67476389098039247
Toronto Raptors,Memphis Grizzlies,0.71660858453094423
Milwaukee Bucks,Philadelphia 76ers,0.79685404954368966
Oklahoma City Thunder,New Orleans Pelicans,0.84246972485627325
Portland Trail Blazers,Los Angeles Lakers,0.92792998810825522
Denver Nuggets,Phoenix Suns,0.67856669419801063
Indiana Pacers,Minnesota Timberwolves,0.63998951730592957
Oklahoma City Thunder,Dallas Mavericks,0.82818964909905024
Utah Jazz,Los Angeles Lakers,0.84068295274667071
Atlanta Hawks,Washington Wizards,0.69713888915984279
Boston Celtics,Orlando Magic,0.75573785983681674
Miami Heat,Chicago Bulls,0.60861202487876986
Cleveland Cavaliers,Brooklyn Nets,0.95435667040798888
Indiana Pacers,Sacramento Kings,0.74454461155144225
San Antonio Spurs,New Orleans Pelicans,0.88700588947459358
Charlotte Hornets,New York Knicks,0.73527210291856782
Houston Rockets,Philadelphia 76ers,0.88397992422624283
Portland Trail Blazers,Memphis Grizzlies,0.82505746181931972
Toronto Raptors,Milwaukee Bucks,0.87459829905170394
Charlotte Hornets,Sacramento Kings,0.77953378922742123
Golden State Warriors,Los Angeles Clippers,0.84247240127589884
Miami Heat,Detroit Pistons,0.662278636085465
Boston Celtics,Milwaukee Bucks,0.71593562929307986
Minnesota Timberwolves,Brooklyn Nets,0.72188586384965647
Denver Nuggets,Phoenix Suns,0.61128511048756184
Utah Jazz,Memphis Grizzlies,0.65903472592968626
Atlanta Hawks,New York Knicks,0.79636974958010376
Chicago Bulls,Philadelphia 76ers,0.86317776413482372
Cleveland Cavaliers,Oklahoma City Thunder,0.66206123260290795
Indiana Pacers,Houston Rockets,0.64073539593814377
Washington Wizards,New Orleans Pelicans,0.6465441967010902
Golden State Warriors,Portland Trail Blazers,0.62838872744200902
San Antonio Spurs,Dallas Mavericks,0.88144223034766378
Toronto Raptors,Orlando Magic,0.83072243463911555
Boston Celtics,Detroit Pistons,0.67179239540717595
Cleveland Cavaliers,Dallas Mavericks,0.73086250821082366
Miami Heat,Brooklyn Nets,0.88436568992705522
Minnesota Timberwolves,Orlando Magic,0.50150305995265987
Sacramento Kings,Philadelphia 76ers,0.82339254062224887
Memphis Grizzlies,Phoenix Suns,0.67300796416321385
Houston Rockets,Sacramento Kings,0.69318700880437611
Denver Nuggets,Los Angeles Lakers,0.71884489888661862
Portland Trail Blazers,Charlotte Hornets,0.68935803066166279
San Antonio Spurs,Oklahoma City Thunder,0.73041905686365471
Toronto Raptors,New Orleans Pelicans,0.8730459716268596
Washington Wizards,New York Knicks,0.68703004018842173
Toronto Raptors,Boston Celtics,0.50651308664755379
New York Knicks,Brooklyn Nets,0.68605730753882166
Cleveland Cavaliers,Minnesota Timberwolves,0.91861549148050592
Dallas Mavericks,Philadelphia 76ers,0.88424347468006748
Denver Nuggets,Memphis Grizzlies,0.50871616142601339
Detroit Pistons,New Orleans Pelicans,0.7483733151151255
Golden State Warriors,Charlotte Hornets,0.87192680931490496
Miami Heat,Atlanta Hawks,0.578395080871976
Oklahoma City Thunder,Chicago Bulls,0.82820375386880662
Indiana Pacers,Orlando Magic,0.61068925815305497
Los Angeles Clippers,Phoenix Suns,0.84774981221058043
Utah Jazz,Milwaukee Bucks,0.73412483759116665
Atlanta Hawks,Houston Rockets,0.51469040249507525
Golden State Warriors,Los Angeles Clippers,0.67138085310677842
San Antonio Spurs,Philadelphia 76ers,0.98021923075885276
Washington Wizards,Los Angeles Lakers,0.83235391827444871
Boston Celtics,Los Angeles Lakers,0.89365253074014439
Indiana Pacers,Brooklyn Nets,0.82435009759105649
Denver Nuggets,Milwaukee Bucks,0.59664970863803146
Detroit Pistons,Minnesota Timberwolves,0.74722640850079014
Houston Rockets,Chicago Bulls,0.57475851327883654
Oklahoma City Thunder,Memphis Grizzlies,0.87848220363409379
Toronto Raptors,Orlando Magic,0.73582603774279209
Portland Trail Blazers,Dallas Mavericks,0.75872672566188704
Sacramento Kings,Phoenix Suns,0.67108565346149129
Atlanta Hawks,Orlando Magic,0.76508026566156673
Indiana Pacers,Detroit Pistons,0.6348688248582135
Miami Heat,Philadelphia 76ers,0.92910801257136522
Minnesota Timberwolves,Memphis Grizzlies,0.50021054595318759
Cleveland Cavaliers,New York Knicks,0.85915457976428133
Milwaukee Bucks,Phoenix Suns,0.59029009239925401
Golden State Warriors,Sacramento Kings,0.8885020950393816
San Antonio Spurs,Denver Nuggets,0.93586896957824439
Charlotte Hornets,Utah Jazz,0.5237022533634641
Washington Wizards,New Orleans Pelicans,0.71923237688352359
Boston Celtics,Los Angeles Clippers,0.53221616424394624
Toronto Raptors,Brooklyn Nets,0.89285852492654372
Oklahoma City Thunder,Portland Trail Blazers,0.81456341084217299
Atlanta Hawks,Utah Jazz,0.68132014141383312
Dallas Mavericks,Denver Nuggets,0.59155945429597767
Detroit Pistons,Philadelphia 76ers,0.90369755037204591
Oklahoma City Thunder,Indiana Pacers,0.61148346204699378
San Antonio Spurs,Memphis Grizzlies,0.82861649644801227
Miami Heat,Minnesota Timberwolves,0.6880362837015096
New Orleans Pelicans,Phoenix Suns,0.61071004803903051
New York Knicks,Los Angeles Lakers,0.67626513750632777
Chicago Bulls,Sacramento Kings,0.59974674531365446
Toronto Raptors,Los Angeles Clippers,0.64344471689223337
Cleveland Cavaliers,Washington Wizards,0.71961316783459939
Charlotte Hornets,Brooklyn Nets,0.89161658272128819
Dallas Mavericks,Portland Trail Blazers,0.51085450363689655
Houston Rockets,Orlando Magic,0.6707651432169337
Atlanta Hawks,Denver Nuggets,0.80917690788619567
Washington Wizards,Brooklyn Nets,0.78781388756822135
Detroit Pistons,Los Angeles Lakers,0.85216720085435782
Golden State Warriors,Chicago Bulls,0.90608937535247203
Cleveland Cavaliers,Indiana Pacers,0.64094825920564857
Memphis Grizzlies,Phoenix Suns,0.71808049615043323
Miami Heat,Milwaukee Bucks,0.71436370832446283
Toronto Raptors,Minnesota Timberwolves,0.75941850717340154
Utah Jazz,New Orleans Pelicans,0.66323592605843817
Los Angeles Clippers,New York Knicks,0.77952517984742775
San Antonio Spurs,Philadelphia 76ers,0.96912888154295362
Boston Celtics,Sacramento Kings,0.68970455603421499
Charlotte Hornets,Houston Rockets,0.68390668358696705
Dallas Mavericks,Utah Jazz,0.53143323502904916
Oklahoma City Thunder,Cleveland Cavaliers,0.60766590443691682
Orlando Magic,Philadelphia 76ers,0.83446019165747809
Portland Trail Blazers,Boston Celtics,0.67950156443514764
Miami Heat,Brooklyn Nets,0.85342726540180114
San Antonio Spurs,Detroit Pistons,0.74098822049350044
Golden State Warriors,Memphis Grizzlies,0.86455748838592694
Milwaukee Bucks,Los Angeles Lakers,0.70670755508627991
Minnesota Timberwolves,New Orleans Pelicans,0.58502091393793976
New York Knicks,Denver Nuggets,0.50036039654250564
Chicago Bulls,Phoenix Suns,0.75528598618663123
Atlanta Hawks,Sacramento Kings,0.68232587705749159
Washington Wizards,Indiana Pacers,0.50547953473596552
Charlotte Hornets,Los Angeles Clippers,0.5396984552172932
Cleveland Cavaliers,Denver Nuggets,0.9134329517132227
Dallas Mavericks,Orlando Magic,0.6333906529719443
Houston Rockets,Phoenix Suns,0.80515056464903934
Indiana Pacers,Milwaukee Bucks,0.78881509118923998
Golden State Warriors,Oklahoma City Thunder,0.52452309997366497
Miami Heat,Philadelphia 76ers,0.91981854433076726
Boston Celtics,Utah Jazz,0.53507174455778994
Chicago Bulls,Minnesota Timberwolves,0.5997305911488866
San Antonio Spurs,New York Knicks,0.88756951054451783
Sacramento Kings,New Orleans Pelicans,0.58500457668971084
Toronto Raptors,Detroit Pistons,0.76451715363814121
Memphis Grizzlies,Brooklyn Nets,0.72510786944266359
Charlotte Hornets,Philadelphia 76ers,0.93376345174305286
Boston Celtics,Dallas Mavericks,0.5641182386777851
Golden State Warriors,Denver Nuggets,0.88507960470295921
San Antonio Spurs,Indiana Pacers,0.69790638718017328
Miami Heat,Orlando Magic,0.7477437206072769
Detroit Pistons,Milwaukee Bucks,0.63014887858631274
New Orleans Pelicans,Phoenix Suns,0.59369076620583339
Portland Trail Blazers,Atlanta Hawks,0.68691574341158157
Los Angeles Clippers,Utah Jazz,0.58327773169716202
Oklahoma City Thunder,Washington Wizards,0.69351701785526265
Toronto Raptors,Chicago Bulls,0.68997899782342365
Sacramento Kings,Los Angeles Lakers,0.75012131202846011
Cleveland Cavaliers,Minnesota Timberwolves,0.82343292627417575
Boston Celtics,Philadelphia 76ers,0.93187823641810041
Milwaukee Bucks,Brooklyn Nets,0.64868980040482982
Cleveland Cavaliers,Indiana Pacers,0.8192131946503115
Denver Nuggets,Minnesota Timberwolves,0.59178856301853366
Detroit Pistons,Dallas Mavericks,0.5846991049918997
Golden State Warriors,Sacramento Kings,0.94161640640751154
Miami Heat,Houston Rockets,0.52131687699217655
Los Angeles Clippers,Atlanta Hawks,0.64488099277521072
Memphis Grizzlies,New Orleans Pelicans,0.63765783609471827
Oklahoma City Thunder,New York Knicks,0.89718454410731463
San Antonio Spurs,Orlando Magic,0.84191401939738986
Phoenix Suns,Los Angeles Lakers,0.57015937737877775
Toronto Raptors,Charlotte Hornets,0.69671641403766571
Utah Jazz,Portland Trail Blazers,0.54011359301760165
Boston Celtics,Chicago Bulls,0.61044856279516535
Indiana Pacers,Washington Wizards,0.65005586641566737
Cleveland Cavaliers,New York Knicks,0.90681719615080814
Charlotte Hornets,Detroit Pistons,0.50162440676663311
Golden State Warriors,Los Angeles Clippers,0.84247240127589884
Houston Rockets,New Orleans Pelicans,0.65579492423475727
Portland Trail Blazers,Orlando Magic,0.59200138791967361
Sacramento Kings,Denver Nuggets,0.56706317508455828
Atlanta Hawks,Miami Heat,0.59478203560579956
Chicago Bulls,Phoenix Suns,0.74319467696861818
Denver Nuggets,Brooklyn Nets,0.72866531102296417
Indiana Pacers,Memphis Grizzlies,0.72335023886620531
San Antonio Spurs,Los Angeles Clippers,0.60745341145125964
Utah Jazz,Milwaukee Bucks,0.631951414439893
Dallas Mavericks,Minnesota Timberwolves,0.5997543872231218
Oklahoma City Thunder,Los Angeles Lakers,0.95177530322499115
Washington Wizards,Philadelphia 76ers,0.87973718348156416
Toronto Raptors,Boston Celtics,0.6869874111644001
Cleveland Cavaliers,Chicago Bulls,0.84316942648495996
Dallas Mavericks,New Orleans Pelicans,0.70769134437029957
Golden State Warriors,Brooklyn Nets,0.97404194926948662
Houston Rockets,Minnesota Timberwolves,0.7394233590779411
Miami Heat,Indiana Pacers,0.62370024785592582
New York Knicks,Philadelphia 76ers,0.77275977038722998
Atlanta Hawks,Orlando Magic,0.65459650635390754
Charlotte Hornets,Sacramento Kings,0.67985397861205565
Denver Nuggets,Memphis Grizzlies,0.50871616142601339
Boston Celtics,Detroit Pistons,0.51303086311731994
Los Angeles Clippers,Charlotte Hornets,0.64748290654070373
San Antonio Spurs,Los Angeles Lakers,0.9528593852839734
Milwaukee Bucks,Phoenix Suns,0.64277948888523662
Oklahoma City Thunder,New Orleans Pelicans,0.91057795023838972
Toronto Raptors,Portland Trail Blazers,0.74788997034310112
Washington Wizards,Utah Jazz,0.54546366787251532
Boston Celtics,Atlanta Hawks,0.58880471562466163
Cleveland Cavaliers,Milwaukee Bucks,0.92011005904714083
Miami Heat,Dallas Mavericks,0.56221991841189323
Houston Rockets,Indiana Pacers,0.5325331753276682
Toronto Raptors,New York Knicks,0.80502449143738808
Golden State Warriors,Philadelphia 76ers,0.97644070005424421
Sacramento Kings,Minnesota Timberwolves,0.5835274296383729
Chicago Bulls,Denver Nuggets,0.65008644746100508
Detroit Pistons,Portland Trail Blazers,0.56197525994141218
Charlotte Hornets,Los Angeles Lakers,0.87671885306643005
Memphis Grizzlies,Phoenix Suns,0.71808049615043323
Oklahoma City Thunder,Utah Jazz,0.82669939152853389
Golden State Warriors,Washington Wizards,0.81430451616765731
Atlanta Hawks,Dallas Mavericks,0.68358205871444833
Cleveland Cavaliers,Boston Celtics,0.60260734138859295
Los Angeles Clippers,Houston Rockets,0.72696635609736582
Miami Heat,Philadelphia 76ers,0.92910801257136522
Milwaukee Bucks,Denver Nuggets,0.53599461303567575
Detroit Pistons,New Orleans Pelicans,0.66150453897096917
Orlando Magic,New York Knicks,0.57789580346189473
Sacramento Kings,Brooklyn Nets,0.72187235317900444
San Antonio Spurs,Indiana Pacers,0.86238979661578019
Toronto Raptors,Washington Wizards,0.77621251108196532
Utah Jazz,Minnesota Timberwolves,0.73017124257206301
Golden State Warriors,Chicago Bulls,0.84889889200930357
Charlotte Hornets,Phoenix Suns,0.81392176813637096
Portland Trail Blazers,Oklahoma City Thunder,0.53402286058103399
Cleveland Cavaliers,Atlanta Hawks,0.59026395980607516
Dallas Mavericks,Memphis Grizzlies,0.63218930010331975
Boston Celtics,Los Angeles Lakers,0.88156729974134629
Los Angeles Clippers,Milwaukee Bucks,0.75401007203510551
San Antonio Spurs,New Orleans Pelicans,0.88700588947459358
Miami Heat,Orlando Magic,0.66057248548513858
New York Knicks,Philadelphia 76ers,0.81151681724155345
Oklahoma City Thunder,Phoenix Suns,0.89440189014014726
Utah Jazz,Brooklyn Nets,0.83368733034558573
Toronto Raptors,Washington Wizards,0.63465895177271547
Los Angeles Clippers,Chicago Bulls,0.65586565706781652
Charlotte Hornets,Denver Nuggets,0.67238843334391762
Houston Rockets,Memphis Grizzlies,0.66962238149459452
Cleveland Cavaliers,Miami Heat,0.61281934234300817
Toronto Raptors,Milwaukee Bucks,0.78163371650412294
Detroit Pistons,Philadelphia 76ers,0.88655919888367263
Portland Trail Blazers,Brooklyn Nets,0.92442097255536682
San Antonio Spurs,Minnesota Timberwolves,0.93979685194232465
Atlanta Hawks,Indiana Pacers,0.64552038419589186
Oklahoma City Thunder,Dallas Mavericks,0.70538470705683154
New Orleans Pelicans,Los Angeles Lakers,0.70375966816485092
Golden State Warriors,New York Knicks,0.91245361778342948
Boston Celtics,Phoenix Suns,0.82073493420672605
Utah Jazz,Sacramento Kings,0.60227338734365321
Washington Wizards,Orlando Magic,0.64639948465864183
Golden State Warriors,Atlanta Hawks,0.71110140879471229
Charlotte Hornets,Indiana Pacers,0.64065473294044384
Cleveland Cavaliers,Miami Heat,0.78505808079374062
Denver Nuggets,Sacramento Kings,0.53580161011420147
Detroit Pistons,Chicago Bulls,0.58472317591007361
Los Angeles Clippers,Boston Celtics,0.63699742206036558
Memphis Grizzlies,Brooklyn Nets,0.76416094786531052
Orlando Magic,New York Knicks,0.57789580346189473
Milwaukee Bucks,Philadelphia 76ers,0.78438924581810576
San Antonio Spurs,Houston Rockets,0.88379397667624793
Utah Jazz,New Orleans Pelicans,0.73136771331271622
Dallas Mavericks,Los Angeles Lakers,0.82432703942133023
Oklahoma City Thunder,Portland Trail Blazers,0.81456341084217299
Washington Wizards,Phoenix Suns,0.74339274768157304
Atlanta Hawks,Brooklyn Nets,0.89364823101459112
Washington Wizards,Denver Nuggets,0.57614996016689268
Golden State Warriors,Boston Celtics,0.86674335356203791
Houston Rockets,Utah Jazz,0.57218124037590956
Indiana Pacers,Detroit Pistons,0.6348688248582135
Miami Heat,Charlotte Hornets,0.58116774873238108
Milwaukee Bucks,New York Knicks,0.51582343843005773
Los Angeles Clippers,Minnesota Timberwolves,0.72995551467099462
Toronto Raptors,New Orleans Pelicans,0.80413838178225716
Chicago Bulls,Orlando Magic,0.56935853001498493
San Antonio Spurs,Sacramento Kings,0.92553390770005139
Cleveland Cavaliers,Detroit Pistons,0.68852775286012624
Los Angeles Clippers,Memphis Grizzlies,0.68408381329215473
Oklahoma City Thunder,San Antonio Spurs,0.54479102207789498
Phoenix Suns,Los Angeles Lakers,0.57015937737877775
Portland Trail Blazers,Philadelphia 76ers,0.95446276890523829
Atlanta Hawks,Toronto Raptors,0.50630727901958528
Houston Rockets,Chicago Bulls,0.50806645475914813
Charlotte Hornets,Orlando Magic,0.76124873980883623
Dallas Mavericks,Brooklyn Nets,0.81676975999914059
Boston Celtics,Denver Nuggets,0.68236139524668138
Indiana Pacers,Milwaukee Bucks,0.66841762481285327
Golden State Warriors,Minnesota Timberwolves,0.88849542827143368
Washington Wizards,Sacramento Kings,0.58445322036285319
Charlotte Hornets,New Orleans Pelicans,0.81711840973454741
Dallas Mavericks,Phoenix Suns,0.77798201057518435
Detroit Pistons,New York Knicks,0.71820375343037324
Los Angeles Clippers,Philadelphia 76ers,0.9454989036782655
Atlanta Hawks,Memphis Grizzlies,0.63242182484461651
Toronto Raptors,Miami Heat,0.51721610379413785
Milwaukee Bucks,Minnesota Timberwolves,0.55270841960640771
Oklahoma City Thunder,Utah Jazz,0.82669939152853389
Cleveland Cavaliers,Orlando Magic,0.80450195667071944
Portland Trail Blazers,Washington Wizards,0.77014657462384994
Sacramento Kings,Denver Nuggets,0.56706317508455828
San Antonio Spurs,Golden State Warriors,0.58300876807877178
Boston Celtics,Chicago Bulls,0.67240827617228405
New York Knicks,Brooklyn Nets,0.68605730753882166
Cleveland Cavaliers,Houston Rockets,0.69723082532462244
Indiana Pacers,Miami Heat,0.5422352028808396
Los Angeles Lakers,Philadelphia 76ers,0.57047263825595329
Portland Trail Blazers,Phoenix Suns,0.77206653797860492
